Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
Cipio Partners,https://www.crunchbase.com/organization/cipio-partners,89,40,"Munich, Bayern, Germany",info@cipiopartners.com,http://www.cipiopartners.com
Armilar Venture Partners,https://www.crunchbase.com/organization/espirito-santo-ventures,89,12,"Lisboa, Lisboa, Portugal",info@armilar.com,http://www.armilar.com/en/
Kingsway Capital,https://www.crunchbase.com/organization/kingsway-capital,89,9,"London, England, United Kingdom",info@kingswaycap.com,http://www.kingswaycap.com
50 Partners,https://www.crunchbase.com/organization/50-partners,89,8,"Paris, Ile-de-France, France",contact@50partners.fr,http://www.50partners.fr
TotalEnergies Ventures,https://www.crunchbase.com/organization/total-energy-ventures-international,89,19,"La Défense, Ile-de-France, France",contact.ventures@total.com,https://ventures.totalenergies.com
Norrsken VC,https://www.crunchbase.com/organization/norrsken-vc,88,2,"Stockholm, Stockholms Lan, Sweden",info@norrsken.vc,https://www.norrsken.org/norrskenvc
BlueYard Capital,https://www.crunchbase.com/organization/blueyard-capital,88,2,"Berlin, Berlin, Germany",,http://blueyard.com/
SquareOne Venture Capital,https://www.crunchbase.com/organization/squarone-vc,88,8,"Berlin, Berlin, Germany",,https://squareone.vc/
Emerald Technology Ventures,https://www.crunchbase.com/organization/emerald-technology-ventures,88,13,"Zürich, Zurich, Switzerland",info@emerald-ventures.com,http://www.emerald-ventures.com/
Financiere Saint James,https://www.crunchbase.com/organization/financiere-saint-james,88,8,"Paris, Ile-de-France, France",,https://www.finsj.com/
OpenOcean,https://www.crunchbase.com/organization/open-ocean,87,17,"Helsinki, Southern Finland, Finland",info@openocean.vc,https://openocean.vc
Motier Ventures,https://www.crunchbase.com/organization/motier-ventures,87,,"Paris, Ile-de-France, France",contact@motier.vc,https://www.motier.vc/
Moscow Seed Fund,https://www.crunchbase.com/organization/moscow-seed-fund,87,1,"Moscow, Moscow City, Russian Federation",info@mosinnov.ru,http://mosinnov.ru/
DSM Venturing,https://www.crunchbase.com/organization/dsm-venturing,87,13,"Heerlen, Limburg, The Netherlands",info.venturing@dsm.com,https://www.dsm-firmenich.com/ventures
UK Research and Innovation,https://www.crunchbase.com/organization/uk-research-and-innovation,86,4,"Swindon, Wiltshire, United Kingdom",communications@ukri.org,https://www.ukri.org/
Kernel Capital,https://www.crunchbase.com/organization/kernel-capital-partners,86,17,"Cork, Cork, Ireland",,http://www.kernel-capital.com
JOINT JOURNEY,https://www.crunchbase.com/organization/jibjigger-r-ltd,86,7,"Limassol, Limassol, Cyprus",inbox@jjvc.info,http://jjvc.info/
Haitong Capital,https://www.crunchbase.com/organization/haitong-capital,86,16,"Lisbon, Lisboa, Portugal",,https://www.haitongib.com/en
H-FARM,https://www.crunchbase.com/organization/h-farm,86,19,"Roncade, Veneto, Italy",info@h-farm.com,http://www.h-farm.com/en/
TEV Ventures,https://www.crunchbase.com/organization/tengelmann-ventures,86,24,"Essen, Nordrhein-Westfalen, Germany",ideas@tev.de,https://www.cuspcapital.com
Demeter,https://www.crunchbase.com/organization/demeter-1e8a,85,5,"Paris, Ile-de-France, France",contact@demeter-im.com,http://demeter-im.com/en
Peak,https://www.crunchbase.com/organization/peak-capital,85,8,"Amsterdam, Noord-Holland, The Netherlands",,http://www.peak.capital
BASF Venture Capital,https://www.crunchbase.com/organization/basf-venture-capital,85,18,"Ludwigshafen, Rheinland-Pfalz, Germany",,http://www.basf.de
Startup Lisboa - Rocket Program,https://www.crunchbase.com/organization/startup-lisboa-rocket-program,85,,"Lisbon, Lisboa, Portugal",,https://www.startuplisboa.com/rocket-program
Vitruvian Partners,https://www.crunchbase.com/organization/vitruvian-partners,84,25,"London, England, United Kingdom",contact@vitruvianpartners.com,http://www.vitruvianpartners.com
Supernova Invest,https://www.crunchbase.com/organization/supernova-invest,84,4,"Paris, Ile-de-France, France",contact@supernovainvest.com,http://www.supernovainvest.com/
ETF Partners,https://www.crunchbase.com/organization/etf-partners,84,9,"London, England, United Kingdom",info@etfpartners.capital,http://www.etfpartners.capital/
Future Energy Ventures,https://www.crunchbase.com/organization/future-energy-ventures,84,11,"Berlin, Berlin, Germany",contact@fev.vc,https://fev.vc
Inkef,https://www.crunchbase.com/organization/inkef-capital,84,18,"Amsterdam, Noord-Holland, The Netherlands",info@inkef.com,https://www.inkef.com
PROfounders Capital,https://www.crunchbase.com/organization/profounders-capital,84,20,"London, England, United Kingdom",contact@profounderscapital.com,https://www.profounderscapital.com/
Deepbridge Capital,https://www.crunchbase.com/organization/deepbridge-capital,84,1,"Chester, Cheshire, United Kingdom",info@deepbridgecapital.com,http://www.deepbridgecapital.com
BioMedPartners,https://www.crunchbase.com/organization/biomedpartners,84,21,"Basel, Basel-Stadt, Switzerland",info@biomedvc.com,http://www.biomedvc.com
Innovation Fund Denmark,https://www.crunchbase.com/organization/innovation-fund-denmark,84,8,"Copenhagen, Hovedstaden, Denmark",kontakt@innovationsfonden.dk,http://innovationsfonden.dk
Aerion Partners,https://www.crunchbase.com/organization/aerion-partners,84,9,"London, England, United Kingdom",info@aerionpartners.com,https://www.aerionpartners.com/
Maki.vc,https://www.crunchbase.com/organization/maki-vc,83,5,"Helsinki, Southern Finland, Finland",lets@maki.vc,https://maki.vc/
APY Ventures,https://www.crunchbase.com/organization/apy-ventures,83,1,"Istanbul, Istanbul, Turkey",,https://www.apyventures.com/
Demeter Partners,https://www.crunchbase.com/organization/demeter-partners,83,12,"Paris, Ile-de-France, France",cv@demeter-partners.com,http://www.demeter-partners.com/
Axon Partners Group,https://www.crunchbase.com/organization/axon-partners-group,83,13,"Madrid, Madrid, Spain",maria.capote@axonpartnersgroup.com,http://axonpartnersgroup.com
Mouro Capital,https://www.crunchbase.com/organization/mouro-capital,83,8,"London, England, United Kingdom",,https://www.mourocapital.com/
LVP,https://www.crunchbase.com/organization/london-venture-partners,83,17,"London, England, United Kingdom",info@londonvp.com,http://www.londonvp.com
ODYSSEE VENTURE,https://www.crunchbase.com/organization/odyssee-venture,83,38,"Paris, Ile-de-France, France",entrepreneurs@odysseeventure.com,http://www.odysseeventure.com
Alesta Yatırım,https://www.crunchbase.com/organization/alesta-girisim,83,,"Istanbul, Istanbul, Turkey",ibrahim.ozer@alestayatirim.com,http://www.alestayatirim.com/
HCVC,https://www.crunchbase.com/organization/hardwareclub,82,6,"Paris, Ile-de-France, France",contact@hardwareclub.co,http://hcvc.co/
Flashpoint,https://www.crunchbase.com/organization/flashpointvc,82,9,"London, England, United Kingdom",hello@flashpointvc.com,http://www.flashpointvc.com/
Bek Ventures,https://www.crunchbase.com/organization/bek-ventures,82,7,"Luxembourg, Luxembourg, Luxembourg",contact@bekventures.com,https://www.bekventures.com/
byFounders,https://www.crunchbase.com/organization/byfounders,82,8,"Copenhagen, Hovedstaden, Denmark",,https://byfounders.vc/
Export and Investment Fund,https://www.crunchbase.com/organization/export-and-investment-fund,82,5,"Hellerup, Hovedstaden, Denmark",reception@eifo.dk,https://www.eifo.dk
Vorwerk Ventures,https://www.crunchbase.com/organization/vorwerk-direct-selling-ventures,82,13,"Berlin, Berlin, Germany",vorwerk-ventures@vorwerkventures.com,https://vorwerkventures.com
Bright Pixel (formerly Sonae IM),https://www.crunchbase.com/organization/sonae-im,82,16,"Maia, Porto, Portugal",,https://brpx.com/
Redbus Ventures,https://www.crunchbase.com/organization/redbus-group,82,5,"London, England, United Kingdom",info@redbus.uk,http://www.redbus.uk/
Imprimatur Capital Fund Management,https://www.crunchbase.com/organization/imprimatur-capital,82,6,"Riga, Riga, Latvia",riga@impcap.com,http://www.icfm.lv/
Faraday Venture Partners,https://www.crunchbase.com/organization/faraday-venture-partners,82,7,"Madrid, Madrid, Spain",info@faraday.es,https://faradayvp.com/
Norfund,https://www.crunchbase.com/organization/norfunds,81,8,"Oslo, Oslo, Norway",post@norfund.no,https://norfund.no
Rheingau Founders,https://www.crunchbase.com/organization/rheingau-founders,81,12,"Berlin, Berlin, Germany",contact@rheingau-founders.com,http://rheingau-founders.com
Santander,https://www.crunchbase.com/organization/banco-santander,80,30,"Boadilla Del Monte, Madrid, Spain",accionistas@santander.com,https://www.santander.com/
Founderful,https://www.crunchbase.com/organization/wingman-897a,80,5,"Zürich, Zurich, Switzerland",,https://www.founderful.com
Bonsai Partners,https://www.crunchbase.com/organization/bonsai-partners,80,18,"Madrid, Madrid, Spain",,https://www.bonsaipartners.eu
42CAP,https://www.crunchbase.com/organization/42cap,80,5,"Munich, Bayern, Germany",info@42cap.com,http://www.42cap.com
Fonbulucu,https://www.crunchbase.com/organization/fonbulucu,80,1,"Çankaya, Ankara, Turkey",info@fonbulucu.com,https://invest.fonbulucu.com/
SODENA,https://www.crunchbase.com/organization/sodena,80,8,"Pamplona, Navarra, Spain",info@sodena.com,http://www.sodena.com
Steadview Capital,https://www.crunchbase.com/organization/steadview-capital,80,12,"London, England, United Kingdom",inquiries@steadview.com,http://steadview.com/
Otium Capital,https://www.crunchbase.com/organization/otium-capital,80,7,"Paris, Ile-de-France, France",hello@otiumcapital.com,https://www.otiumcapital.com/
Collider,https://www.crunchbase.com/organization/collider,80,2,"London, England, United Kingdom",hello@collider.io,http://www.collider.io
Illuminate Financial,https://www.crunchbase.com/organization/illuminate-financial,79,7,"London, England, United Kingdom",info@illuminatefinancial.com,http://illuminatefinancial.com/
Actis,https://www.crunchbase.com/organization/actis,79,32,"London, England, United Kingdom",info@act.is,https://www.act.is/
Talis Capital,https://www.crunchbase.com/organization/talis-capital,79,19,"London, England, United Kingdom",info@taliscapital.com,http://www.taliscapital.com
IFB Innovationsstarter,https://www.crunchbase.com/organization/ifb-innovationsstarter-gmbh,79,5,"Hamburg, Hamburg, Germany",,http://innovationsstarter.com/
Blue Horizon Corporation,https://www.crunchbase.com/organization/blue-horizon-corporation,79,4,"Zürich, Zurich, Switzerland",info@bluehorizon.com,https://www.bluehorizon.com/
Club Italia Investimenti 2,https://www.crunchbase.com/organization/club-italia-investimenti,79,9,"Milan, Lombardia, Italy",team@cii2.com,http://www.cii2.com
Vinnova,https://www.crunchbase.com/organization/vinnova,79,14,"Stockholm, Stockholms Lan, Sweden",,http://www.vinnova.se/en
Eduardo Ronzano,https://www.crunchbase.com/person/eduardo-ronzano,79,15,"Paris, Ile-de-France, France",,
aws Gründungsfonds,https://www.crunchbase.com/organization/aws-grnderfonds,78,9,"Vienna, Wien, Austria",office@gruenderfonds.at,http://www.gruenderfonds.at
Pentech Ventures,https://www.crunchbase.com/organization/pentech-ventures,78,18,"Edinburgh, Edinburgh, City of, United Kingdom",info@pentechvc.com,https://pentech.vc/
Kelvin Capital,https://www.crunchbase.com/organization/kelvin-capital,78,,"Glasgow, Glasgow City, United Kingdom",theteam@kelvincapital.com,https://www.kelvincapital.com/
Old College Capital,https://www.crunchbase.com/organization/old-college-capital,78,2,"Edinburgh, Edinburgh, City of, United Kingdom",,https://edinburgh-innovations.ed.ac.uk/venture-investment
Grazia Equity,https://www.crunchbase.com/organization/grazia-equity,78,20,"Stuttgart, Baden-Wurttemberg, Germany",info@grazia.com,http://www.grazia.com/en/
Giant Ventures,https://www.crunchbase.com/organization/giant-ventures-global,77,4,"London, England, United Kingdom",,https://www.giant.vc
InnovationQuarter,https://www.crunchbase.com/organization/innovation-quarter,77,8,"The Hague, Zuid-Holland, The Netherlands",info@innovationquarter.nl,http://www.innovationquarter.nl/
Generation Investment Management,https://www.crunchbase.com/organization/generation-investment-management,77,21,"London, England, United Kingdom",genfound@generationim.com,http://www.generationim.com
CapHorn Invest,https://www.crunchbase.com/organization/caphorn-invest,77,11,"Paris, Ile-de-France, France",info@caphorn.vc,https://caphorn.vc/
Archangels,https://www.crunchbase.com/organization/archangel-informal-investments-limited,77,10,"Edinburgh, Edinburgh, City of, United Kingdom",investment@archangelsonline.com,http://www.archangelsonline.com
FoodLabs,https://www.crunchbase.com/organization/atlantic-food-lab,77,4,"Berlin, Berlin, Germany",,http://foodlabs.com/
Demium Capital,https://www.crunchbase.com/organization/think-bigger-capital,77,,"Valencia, Comunidad Valenciana, Spain",hello@demium.com,https://demium.com/demium-capital/
Manta Ray Ventures,https://www.crunchbase.com/organization/manta-ray-ventures,77,5,"London, England, United Kingdom",contact@mantaray.vc,https://mantaray.vc/
Novo Ventures,https://www.crunchbase.com/organization/novo-ventures,77,40,"Bagsværd, Hovedstaden, Denmark",,https://www.novoholdings.dk/investments/ventures/
DTCP,https://www.crunchbase.com/organization/dtcp,76,23,"Hamburg, Hamburg, Germany",info@dtcp.capital,https://www.dtcp.capital
Presto Ventures,https://www.crunchbase.com/organization/presto-ventures,76,2,"Prague, Hlavni mesto Praha, Czech Republic",hello@prestoventures.com,https://www.prestoventures.com/
Livingbridge,https://www.crunchbase.com/organization/isis-equity-partners,76,38,"London, England, United Kingdom",,https://www.livingbridge.com/
Adara Ventures,https://www.crunchbase.com/organization/adara-venture-partners,76,13,"Luxembourg, Luxembourg, Luxembourg",info@adara.vc,http://www.adara.vc
Butterfly Ventures,https://www.crunchbase.com/organization/butterfly-ventures,76,2,"Oulu, Oulu, Finland",juho@butterfly.vc,http://butterfly.vc
Smedvig Ventures,https://www.crunchbase.com/organization/smedvig-capital,76,16,"London, England, United Kingdom",hello@smedvig.vc,http://www.smedvig.vc
Ysios Capital,https://www.crunchbase.com/organization/ysios-capital,75,13,"San Sebastian, Pais Vasco, Spain",ysios@ysioscapital.com,http://www.ysioscapital.com
Triple Point Ventures,https://www.crunchbase.com/organization/triple-point,75,5,"London, England, United Kingdom",contact@triplepoint.co.uk,http://www.triplepoint.co.uk/
Fasanara Capital,https://www.crunchbase.com/organization/fasanara-capital,75,3,"London, England, United Kingdom",investor.relations@fasanara.com,https://www.fasanara.com
NPIF – Mercia Equity Finance,https://www.crunchbase.com/organization/mercia-equity-finance,75,6,"Henley In Arden, Warwickshire, United Kingdom",info@mercia.co.uk,https://www.mercia.co.uk/npif-equity-finance/
Evolem Start,https://www.crunchbase.com/organization/evolem-start,75,6,"Lyon, Rhone-Alpes, France",thomas.rival@evolem.com,http://www.evolem.com
Innovation Nest,https://www.crunchbase.com/organization/innovation-nest,75,8,"Kraków, Malopolskie, Poland",partners@innovationnest.co,http://www.innovationnest.co
Eden Ventures,https://www.crunchbase.com/organization/eden-ventures,75,20,"London, England, United Kingdom",info@edenventures.co.uk,http://www.edenventures.co.uk
Superhero Capital,https://www.crunchbase.com/organization/superhero-cap,74,3,"Helsinki, Southern Finland, Finland",nexthero@superherocapital.com,http://superherocapital.com
Innovestor,https://www.crunchbase.com/organization/innovestor,74,4,"Helsinki, Southern Finland, Finland",info@innovestor.fi,http://www.innovestorgroup.com/
Accelerace,https://www.crunchbase.com/organization/accelerace,74,8,"Copenhagen, Hovedstaden, Denmark",info@accelerace.io,http://www.accelerace.io
Saarbruecker 21,https://www.crunchbase.com/organization/saarbruecker-21,74,28,"Berlin, Berlin, Germany",contact@sb21.de,https://www.sb21.de/
10x Founders,https://www.crunchbase.com/organization/10x-founders,73,1,"Munich, Bayern, Germany",info@10xfounders.com,https://www.10xfounders.com/
Maxis,https://www.crunchbase.com/organization/maxis-19c6,73,2,"Besiktas, Istanbul, Turkey",info@maxisgirisimpys.com.tr,https://www.maxisgs.com
Momenta,https://www.crunchbase.com/organization/momenta-ventures,73,9,"Meggen, Luzern, Switzerland",info@momenta.one,https://www.momenta.one
True.,https://www.crunchbase.com/organization/trueglobal,73,5,"London, England, United Kingdom",enquiries@true.global,http://www.true.global
MVM Life Science Partners,https://www.crunchbase.com/organization/mvm-life-science-partners,73,24,"London, England, United Kingdom",info@mvm.com,http://mvm.com
Volta Ventures,https://www.crunchbase.com/organization/volta-ventures,73,7,"Gent, Oost-Vlaanderen, Belgium",info@voltaventures.eu,http://www.volta.ventures
The Family,https://www.crunchbase.com/organization/thefamily,73,17,"Paris, Ile-de-France, France",welcome@thefamily.co,http://thefamily.co
Prosus,https://www.crunchbase.com/organization/prosus-naspers,73,20,"Amsterdam, Noord-Holland, The Netherlands",investorrelations@naspers.com,http://www.prosus.com
BStartup,https://www.crunchbase.com/organization/bstartup-llc,73,3,"Sant Cugat Del Vallès, Catalonia, Spain",bstartup@bancsabadell.com,http://bstartup.bancsabadell.com/
Innovation Norway,https://www.crunchbase.com/organization/innovation-norway,73,6,"Oslo, Oslo, Norway",post@innovasjonnorge.no,http://www.innovasjonnorge.no/
Visionplus,https://www.crunchbase.com/organization/vision,73,10,"Helsinki, Southern Finland, Finland",info@visionplus.fi,http://www.visionplus.fi
Paca Investissement,https://www.crunchbase.com/organization/paca-investissement,73,5,"Paris, Ile-de-France, France",,http://www.pacainvestissement.com/
Orange Ventures,https://www.crunchbase.com/organization/orange-digital-ventures,72,9,"Paris, Ile-de-France, France",digital.ventures@orange.com,http://ventures.orange.com/
Big Sur Ventures,https://www.crunchbase.com/organization/big-sur-ventures,72,3,"Madrid, Madrid, Spain",info@bigsurventures.vc,https://www.bigsurventures.vc/
Elkstone Capital Partners,https://www.crunchbase.com/organization/elkstone-capital-partners,72,4,"Dublin, Dublin, Ireland",venture@elkstoneprivate.com,https://www.elkstonepartners.com/ventures/
UNIIQ,https://www.crunchbase.com/organization/uniiq,72,1,"Den Haag, Zuid-Holland, The Netherlands",contact@uniiq.nl,http://uniiq.nl/
Reflex Capital,https://www.crunchbase.com/organization/reflex-capital,72,14,"Prague, Hlavni mesto Praha, Czech Republic",info@reflexcapital.com,https://www.reflexcapital.com
Concentric,https://www.crunchbase.com/organization/concentric,72,5,"London, England, United Kingdom",info@concentric.vc,http://www.concentric.vc
Sabadell Venture Capital,https://www.crunchbase.com/organization/sabadell-venture-capital,72,13,"Barcelona, Catalonia, Spain",,https://sabadellventurecapital.com
Meusinvest (Noshaq),https://www.crunchbase.com/organization/meusinvest,72,3,"Liège, Liege, Belgium",info@meusinvest.be,https://noshaq.be/en/
Sofimac Investment Managers,https://www.crunchbase.com/organization/sofimac-partners,72,12,"Clermont-ferrand, Auvergne, France",info@sofimacpartners.com,http://www.sofimacpartners.com
Microsoft Accelerator Paris,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-paris-2,72,14,"Paris, Ile-de-France, France",,https://www.microsoftaccelerator.com/locations/paris
Mercuri,https://www.crunchbase.com/organization/mercuri-vc,71,,"London, England, United Kingdom",info@mercuri.vc,https://www.mercuri.vc
Newion,https://www.crunchbase.com/organization/newion-investments,71,13,"Amsterdam, Noord-Holland, The Netherlands",info@newion.com,https://newion.com/
Nina Capital,https://www.crunchbase.com/organization/nina-capital,71,3,"Barcelona, Catalonia, Spain",info@nina.capital,https://www.nina.capital/
Boğaziçi Ventures,https://www.crunchbase.com/organization/boğaziçi-ventures,71,1,"Istanbul, Istanbul, Turkey",info@bogaziciventures.com,http://www.bogaziciventures.com/
Unigrains,https://www.crunchbase.com/organization/unigrains,71,9,"Paris, Ile-de-France, France",,http://www.unigrains.fr/en/food-and-agri-business-specialist.html
CyLon Ventures,https://www.crunchbase.com/organization/cylon,71,12,"Witney, Oxfordshire, United Kingdom",hello@cylonventures.com,https://www.cylonventures.com/
Nesta Ventures,https://www.crunchbase.com/organization/nesta-investments,71,12,"London, England, United Kingdom",information@nesta.org.uk,https://www.nesta.org.uk
Microsoft Accelerator London,https://www.crunchbase.com/organization/microsoft-ventures-accelerator-london-3,71,5,"London, England, United Kingdom",msventures@microsoft.com,https://www.microsoftaccelerator.com/locations/london
Stride.VC,https://www.crunchbase.com/organization/stride-vc,70,6,"London, England, United Kingdom",,http://stride.vc/
ProVeg Incubator,https://www.crunchbase.com/organization/proveg-incubator,70,,"Berlin, Berlin, Germany",info@provegincubator.com,https://provegincubator.com/
Zee Prime Capital,https://www.crunchbase.com/organization/zee-prime-capital,70,1,"Gibraltar, Gibraltar, Gibraltar",info@zeeprime.capital,https://zeeprime.capital
SeedRocket,https://www.crunchbase.com/organization/seedrocket,70,15,"Barcelona, Catalonia, Spain",info@seedrocket.com,http://www.seedrocket.com/en
s16vc,https://www.crunchbase.com/organization/s16vc,69,1,"Amsterdam, Noord-Holland, The Netherlands",,https://s16vc.com/
Shilling,https://www.crunchbase.com/organization/shilling-capital-partners,69,5,"Lisbon, Lisboa, Portugal",team@shilling.vc,https://www.shilling.vc/
Primo Capital,https://www.crunchbase.com/organization/barcamper-ventures,69,8,"Milan, Lombardia, Italy",info@primo.vc,https://primo.vc
Alliance VC,https://www.crunchbase.com/organization/alliance-venture,69,9,"Oslo, Oslo, Norway",hello@alliance.vc,https://alliance.vc
PortfoLion Capital Partners,https://www.crunchbase.com/organization/portfolion,69,8,"Budapest, Budapest, Hungary",info@portfolion.hu,https://www.portfolion.hu/en/
Flyer One Ventures,https://www.crunchbase.com/organization/flyer-one-ventures,69,5,"London, England, United Kingdom",go@flyerone.vc,https://flyerone.vc/
EIT Urban Mobility,https://www.crunchbase.com/organization/eit-urban-mobility,69,3,"Barcelona, Catalonia, Spain",investments@eiturbanmobility.eu,https://www.eiturbanmobility.eu/impact-ventures/
Caixa Capital,https://www.crunchbase.com/organization/caixa-capital-2,69,5,"Lisbon, Lisboa, Portugal",geral@caixacapital.pt,http://www.caixacapital.pt
Rob Dobson,https://www.crunchbase.com/person/rob-dobson,69,6,"Edinburgh, Edinburgh, City of, United Kingdom",,https://robdobson.com
Paris Business Angels,https://www.crunchbase.com/organization/paris-business-angels,69,10,"Paris, Ile-de-France, France",contact@parisbusinessangels.com,http://parisbusinessangels.com
Low Carbon Innovation Fund,https://www.crunchbase.com/organization/low-carbon-innovation-fund,69,5,"Norwich, Norfolk, United Kingdom",lcif@uea.ac.uk,http://www.lowcarbonfund.co.uk/LCIF/Index.action
Superangel,https://www.crunchbase.com/organization/superangel,68,3,"Tallinn, Harjumaa, Estonia",,https://superangel.io/
Faber,https://www.crunchbase.com/organization/faber-ventures,68,8,"Lisbon, Lisboa, Portugal",contact@faber.vc,http://faber.vc
United Ventures,https://www.crunchbase.com/organization/united-ventures,68,9,"Milan, Lombardia, Italy",info@unitedventures.it,https://unitedventures.com
Samaipata,https://www.crunchbase.com/organization/samaipata-ventures,68,5,"Madrid, Madrid, Spain",,https://samaipata.vc/
Encomenda VC,https://www.crunchbase.com/organization/encomenda-vc-2,68,4,"Barcelona, Catalonia, Spain",,http://encomenda.com
4Founders Capital,https://www.crunchbase.com/organization/4founders-capital,68,4,"Barcelona, Catalonia, Spain",info@4founderscapital.com,http://www.4founderscapital.com/
Emerge,https://www.crunchbase.com/organization/emerge-venture-lab,68,6,"London, England, United Kingdom",hello@emerge.education,https://emerge.education
First Fellow Partners,https://www.crunchbase.com/organization/first-fellow-partners,68,12,"Helsinki, Southern Finland, Finland",,https://firstfellow.com/
Innogest Capital,https://www.crunchbase.com/organization/innogest-sgr,68,12,"Milan, Lombardia, Italy",info@innogest.it,http://www.innogestcapital.com
Two Culture Capital,https://www.crunchbase.com/organization/two-culture-capital,68,8,"Dublin, Dublin, Ireland",,http://www.TwoCultureCap.com
Hardware.co,https://www.crunchbase.com/organization/hardware-co-accelerator,68,3,"Berlin, Berlin, Germany",info@hardware.co,http://hardware.co
Swen Capital Partners,https://www.crunchbase.com/organization/swen-capital-partners,67,7,"Paris, Ile-de-France, France",contact@swen-cp.fr,http://www.swen-cp.fr/
KAYA,https://www.crunchbase.com/organization/kaya-8ed9,67,10,"Prague, Hlavni mesto Praha, Czech Republic",info@kaya.vc,https://www.kaya.vc/
Endeavour Vision,https://www.crunchbase.com/organization/endeavour-vision,67,21,"Geneva, Geneve, Switzerland",info@endeavourvision.com,http://www.endeavourvision.com
Oikocredit International,https://www.crunchbase.com/organization/oikocredit-international,67,6,"Amersfoort, Utrecht, The Netherlands",info@oikocredit.org,http://www.oikocredit.coop/
Greyhound Capital,https://www.crunchbase.com/organization/greyhound-capital,67,7,"London, England, United Kingdom",info@greyhoundcapital.com,http://www.greyhoundcapital.com
Brandenburg Kapital,https://www.crunchbase.com/organization/bfb-brandenburg-kapital-gmbh,67,6,"Potsdam, Brandenburg, Germany",eigenkapital@ilb.de,https://www.brandenburg-kapital.de
Centro de Incubação de Évora,https://www.crunchbase.com/organization/centro-de-incubação-de-évora,67,5,"Évora, Evora, Portugal",linc.evora@gmail.com,https://anje.pt/linc/evora/
Serpentine Ventures,https://www.crunchbase.com/organization/serpentine-ventures,67,5,"Zürich, Zurich, Switzerland",contact@serpentine.vc,https://www.serpentine.vc
KTH Holding,https://www.crunchbase.com/organization/kth-holding,67,3,"Stockholm, Stockholms Lan, Sweden",info@kth.se,https://kthholding.se/
SEB Venture Capital,https://www.crunchbase.com/organization/seb-venture-capital,67,21,"Stockholm, Stockholms Lan, Sweden",,http://www.seb.se/venturecapital
SocialFare,https://www.crunchbase.com/organization/socialfare,67,1,"Torino, Piemonte, Italy",info@socialfare.org,http://socialfare.org/en/
Inovo.vc,https://www.crunchbase.com/organization/inovo-vc,66,4,"Warsaw, Mazowieckie, Poland",,http://inovo.vc/
Revo Capital,https://www.crunchbase.com/organization/revo-capital,66,9,"Istanbul, Istanbul, Turkey",info@revo.vc,http://www.revo.vc
C4 Ventures,https://www.crunchbase.com/organization/c4-ventures,66,14,"Paris, Ile-de-France, France",hello@c4v.com,http://c4v.com/
Polygon Ventures,https://www.crunchbase.com/organization/polygon-ventures,66,3,"Tórtola, Castilla-La Mancha, Spain",,https://www.p2v.ventures/
KREAXI,https://www.crunchbase.com/organization/rhne-alpes-cration,66,11,"Limonest, Rhone-Alpes, France",contact@kreaxi.com,http://www.kreaxi.com
Visionaries Club,https://www.crunchbase.com/organization/visionaries-club,66,3,"Berlin, Berlin, Germany",hi@visionariesclub.vc,https://visionaries.vc
E-Merge,https://www.crunchbase.com/organization/emerge,66,24,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@emerge.be,http://www.emerge.be
seed + speed,https://www.crunchbase.com/organization/seed-speed-ventures,66,7,"Berlin, Berlin, Germany",info@seedandspeed.de,http://www.seedandspeed.com
David Helgason,https://www.crunchbase.com/person/david-helgason,66,8,"Reykjavík, Gullbringusysla, Iceland",,http:// www.foobar.vc
Calculus Capital,https://www.crunchbase.com/organization/calculus-capital,66,14,"London, England, United Kingdom",info@calculuscapital.com,http://www.calculuscapital.com/
ICLUB VC,https://www.crunchbase.com/organization/iclub-vc,66,6,"Kyiv, Kyyiv, Ukraine",,https://iclub.vc/
Maersk Growth,https://www.crunchbase.com/organization/maersk-growth,66,6,"Copenhagen, Hovedstaden, Denmark",growth@maersk.com,https://www.maersk.com/growth
ABC Accelerator,https://www.crunchbase.com/organization/acceleration-business-city---abc,66,1,"Ljubljana, Ljubljana Urban Commune, Slovenia",info@abc-accelerator.com,https://abc-accelerator.com
xEdu,https://www.crunchbase.com/organization/xedu,66,1,"Helsinki, Southern Finland, Finland",info@xedu.co,http://xedu.co/
Invest-NL,https://www.crunchbase.com/organization/invest-nl,65,4,"Amsterdam, Noord-Holland, The Netherlands",info@invest-nl.nl,https://www.invest-nl.nl/
Innovation Industries,https://www.crunchbase.com/organization/innovation-industries,65,4,"Amsterdam, Noord-Holland, The Netherlands",info@innovationindustries.com,https://www.innovationindustries.com
W ventures,https://www.crunchbase.com/organization/w-ventures-5f08,65,2,"Berlin, Berlin, Germany",,http://wventures.jp
Bankinter,https://www.crunchbase.com/organization/bankinter,65,11,"Madrid, Madrid, Spain",,http://www.bankinter.com/
TrueSight Ventures,https://www.crunchbase.com/organization/truesight-ventures,65,8,"London, England, United Kingdom",info@truesight.vc,https://www.truesight.vc
Advent Life Sciences,https://www.crunchbase.com/organization/advent-life,65,15,"London, England, United Kingdom",contact@adventLS.com,http://www.adventls.com/
ABB Ventures,https://www.crunchbase.com/organization/abb-technology-ventures,65,11,"Zürich, Zurich, Switzerland",,https://global.abb/group/en/technology/ventures
