Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Number of Exits,Number of Investments,Contact Email,Website
Sting,https://www.crunchbase.com/organization/stockholm-innovation-and-growth,"Stockholm, Stockholms Lan, Sweden","Finance, Incubators, Information Technology",297,25,308,maria.ljungberg@sting.co,http://www.sting.co
BONVENTURE,https://www.crunchbase.com/organization/bonventure,"Munich, Bayern, Germany","Education, Health Care, Impact Investing, Social Entrepreneurship, Sustainability, Venture Capital",27,2,36,info@bonventure.de,https://bonventure.de
Aescuvest,https://www.crunchbase.com/organization/aescuvest,"Frankfurt, Hessen, Germany","Financial Services, Health Care, Venture Capital",22,,25,kontakt@aescuvest.de,https://aescuvest.eu/
Zubr Capital,https://www.crunchbase.com/organization/zubr-capital,"Limassol, Limassol, Cyprus","Classifieds, Cloud Data Services, E-Commerce, EdTech, FinTech, SaaS",18,5,19,info@zubrcapital.com,http://zubrcapital.com/
Keyrock,https://www.crunchbase.com/organization/keyrock,"Woluwé-saint-pierre, Brussels Hoofdstedelijk Gewest, Belgium","Asset Management, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech",8,,8,info@keyrock.eu,https://keyrock.com
NatWest,https://www.crunchbase.com/organization/natwest-4984,"London, England, United Kingdom","Banking, Finance, Financial Services, Risk Management, Trading Platform",31,5,34,support@natwestmarkets.com,http://www.nwm.com
Big Sur Ventures,https://www.crunchbase.com/organization/big-sur-ventures,"Madrid, Madrid, Spain",Venture Capital,45,3,72,info@bigsurventures.vc,https://www.bigsurventures.vc/
Pangea Blockchain Fund,https://www.crunchbase.com/organization/pangea-blockchain-fund,"Lugano, Ticino, Switzerland","Blockchain, Hedge Funds, Incubators, Venture Capital",6,,6,Pangea@pmbcgroup.com,https://www.pangeablockchain.ch
Funderbeam,https://www.crunchbase.com/organization/funderbeam,"London, England, United Kingdom","Big Data, Business Intelligence, Crowdfunding, Financial Services, Trading Platform",13,1,16,hello@funderbeam.com,https://www.funderbeam.com
Ace Capital Partners,https://www.crunchbase.com/organization/ace-capital-partners,"Paris, Ile-de-France, France",Financial Services,39,16,51,Paulgregory0000@gmail.com,https://www.ace-cp.com/
Exceptional Ventures,https://www.crunchbase.com/organization/exceptional-ventures,"London, England, United Kingdom","Food and Beverage, Health Care, Venture Capital",26,2,29,hello@exceptional.ventures,https://exceptional.ventures/
PARSIQ,https://www.crunchbase.com/organization/parsiq,"Ham, Shetland Islands, United Kingdom","Blockchain, Cryptocurrency, Cyber Security, Fraud Detection, Internet, Software",6,,7,info@parsiq.io,https://parsiq.net
Extension Fund,https://www.crunchbase.com/organization/the-extension-fund-scr-pyme,"Barcelona, Catalonia, Spain","Finance, Financial Services, Venture Capital",18,1,24,hello@extensionfund.com,https://www.extensionfund.com/
Enso Finance,https://www.crunchbase.com/organization/enso-finance,"Zürich, Zurich, Switzerland","Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Peer to Peer",1,,1,info@enso.finance,https://www.enso.finance
Acrobator Ventures,https://www.crunchbase.com/organization/acrobator-ventures,"Amsterdam, Noord-Holland, The Netherlands",Venture Capital,19,,25,joachim@acrobator.vc,https://acrobator.vc
Golden Egg Check Capital,https://www.crunchbase.com/organization/golden-egg-check-capital,"Enschede, Overijssel, The Netherlands","Artificial Intelligence (AI), Cyber Security, FinTech, Human Resources, Impact Investing, Machine Learning, Marketplace, Payments, Robotics, Software",25,1,29,capital@goldeneggcheck.com,https://goldeneggcheck.com/startups/capital
Nazca Capital,https://www.crunchbase.com/organization/nazca-capital,"Madrid, Madrid, Spain",Financial Services,7,1,7,info@nazca.es,http://www.nazca.es
Crowdcube,https://www.crunchbase.com/organization/crowdcube,"Exeter, Devon, United Kingdom","Business Development, Crowdfunding, Financial Services, FinTech, Funding Platform, Venture Capital",815,37,"1,032",info@crowdcube.com,https://www.crowdcube.com/
Luno,https://www.crunchbase.com/organization/lunomoney,"London, England, United Kingdom","Cryptocurrency, Financial Services, Virtual Currency",5,1,6,support@luno.com,https://www.luno.com
Founders Factory,https://www.crunchbase.com/organization/founders-factory,"London, England, United Kingdom","CleanTech, Consumer, FinTech, GreenTech, Health Care, Media and Entertainment, SaaS, Telecommunications",133,18,139,hello@foundersfactory.com,https://foundersfactory.com/
Sure Valley Ventures,https://www.crunchbase.com/organization/suir-valley-venture,"London, England, United Kingdom","Artificial Intelligence (AI), Cyber Security, Enterprise Software, Financial Services, Machine Learning, Venture Capital",30,6,47,info@surevalleyventures.com,https://surevalleyventures.com
Startupbootcamp,https://www.crunchbase.com/organization/startupbootcamp,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",592,50,614,info@startupbootcamp.org,http://www.startupbootcamp.org
MAIF Avenir,https://www.crunchbase.com/organization/maif-avenir,"Paris, Ile-de-France, France",Venture Capital,42,13,56,contact@maif-avenir.com,https://www.maif-avenir.fr/
ACF Investors,https://www.crunchbase.com/organization/angel-cofund,"Sheffield, Sheffield, United Kingdom","Angel Investment, Finance, Venture Capital",111,20,150,info@angelcofund.co.uk,https://www.acfinvestors.com
SeedBlink,https://www.crunchbase.com/organization/seedblink,"Bucharest, Bucuresti, Romania","Apps, Artificial Intelligence (AI), Biotechnology, Cyber Security, EdTech, Financial Services, FinTech, Machine Learning, Property Management, Software",86,2,97,investors@seedblink.com,https://seedblink.com/
Investisseurs & Partenaires,https://www.crunchbase.com/organization/investisseurs-and-partenaires,"Paris, Ile-de-France, France","Angel Investment, Financial Exchanges, Financial Services, Impact Investing, Small and Medium Businesses",103,9,112,info@ietp.com,http://www.ietp.com/
Eleving Group,https://www.crunchbase.com/organization/eleving-group,"Riga, Riga, Latvia","Auto Insurance, Automotive, Finance, Financial Services",2,,2,info@eleving.com,https://eleving.com/
Form Ventures,https://www.crunchbase.com/organization/form-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",19,1,22,info@formventures.vc,https://formventures.vc
Act Venture Capital,https://www.crunchbase.com/organization/act-venture-capital,"Dublin, Dublin, Ireland","FinTech, Information Technology, Internet, Semiconductor, Software, Venture Capital",111,58,167,info@actvc.ie,http://www.actventure.capital
Argo Blockchain,https://www.crunchbase.com/organization/argo-blockchain-plc,"London, England, United Kingdom","Blockchain, Cryptocurrency, Information Technology, Smart Contracts",3,1,3,support@argoblockchain.com,http://www.argoblockchain.com
Oxford Science Enterprises,https://www.crunchbase.com/organization/oxford-sciences-innovation,"Oxford, Oxfordshire, United Kingdom","Asset Management, Business Development, Finance, Higher Education, Life Science, Venture Capital",86,14,161,hello@oxfordsciences.com,https://oxfordscienceenterprises.com/
BioGeneration Ventures,https://www.crunchbase.com/organization/biogeneration-ventures,"Naarden, Noord-Holland, The Netherlands","Financial Services, Life Science, Venture Capital",42,9,61,info@biogeneration.vc,http://www.biogenerationventures.com
Blazar Capital,https://www.crunchbase.com/organization/blazar-capital,"Copenhagen, Hovedstaden, Denmark","Consumer Goods, Venture Capital",7,,12,hello@blazarcapital.com,https://blazarcapital.com/
AFI Ventures,https://www.crunchbase.com/organization/afi-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Impact Investing, Social Impact, Venture Capital",33,2,36,dealflow@afi.ventures,https://allianceforimpact.com/
Elaia,https://www.crunchbase.com/organization/elaia-partners,"Paris, Ile-de-France, France","B2B, Financial Services, Venture Capital",140,46,207,contact@elaia.com,https://www.elaia.com
Phystech Ventures,https://www.crunchbase.com/organization/phystech-ventures,"London, England, United Kingdom","Aerospace, Bioinformatics, Biotechnology, Energy, Financial Services, Genetics, Quantum Computing, Robotics, Venture Capital",29,8,36,team@phystech.vc,https://phystech.vc
Conexo Ventures,https://www.crunchbase.com/organization/conexo-ventures,"Madrid, Madrid, Spain","Cyber Security, FinTech, Information Technology, Venture Capital",22,3,27,info@conexo.vc,http://conexo.vc
Outlier Ventures,https://www.crunchbase.com/organization/outlier-ventures-ltd-llp,"London, England, United Kingdom","Artificial Intelligence (AI), Blockchain, Fashion, FinTech, Gaming, Information Technology, Internet, Metaverse, Venture Capital, Web3",338,5,340,contact@outlierventures.io,https://www.outlierventures.io
Wellstreet,https://www.crunchbase.com/organization/wellstreet,"Stockholm, Stockholms Lan, Sweden","Digital Marketing, Infrastructure, Venture Capital",54,7,60,info@wellstreet.vc,http://www.wellstreet.se
StartupFon,https://www.crunchbase.com/organization/startupfon,"Üsküdar, Istanbul, Turkey","Angel Investment, Crowdfunding, Crowdsourcing, Financial Services, Funding Platform, Venture Capital",29,,32,info@startupfon.com,https://www.startupfon.com/
Companisto,https://www.crunchbase.com/organization/companisto,"Berlin, Berlin, Germany","Angel Investment, Crowdfunding, Finance, Financial Services, FinTech, Venture Capital",22,1,23,info@companisto.com,https://www.companisto.com
SMOK Ventures,https://www.crunchbase.com/organization/smok-ventures,"Warsaw, Mazowieckie, Poland",Financial Services,38,,49,smok@smok.vc,http://smok.vc/
DAO Maker,https://www.crunchbase.com/organization/dao-maker,"Belle Vue, Cumbria, United Kingdom","Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Funding Platform, Non-Fungible Token (NFT)",44,,45,Paulgregory0000@gmail.com,https://daomaker.com/
The Family,https://www.crunchbase.com/organization/thefamily,"Paris, Ile-de-France, France","Financial Services, Funding Platform, Venture Capital",70,18,73,welcome@thefamily.co,http://thefamily.co
Antai Ventures,https://www.crunchbase.com/organization/antai-venture-builder,"Barcelona, Catalonia, Spain","Angel Investment, Financial Services, Impact Investing, Incubators, Venture Capital",22,4,36,hola@antaivb.com,https://antaiventures.com/
Insurtech Gateway,https://www.crunchbase.com/organization/insurtech-gateway,"London, England, United Kingdom","Finance, FinTech, Incubators, Insurance, InsurTech",27,3,45,opensesame@insurtechgateway.com,http://www.insurtechgateway.com
Founder One,https://www.crunchbase.com/organization/founder-one,"Sisli, Istanbul, Turkey","Consulting, Financial Services, Venture Capital",29,,31,info@founderone.com,https://www.founderone.com/index.php
ChromaWay,https://www.crunchbase.com/organization/chromaway,"Stockholm, Stockholms Lan, Sweden","Apps, B2B, Blockchain, Enterprise Software, Financial Services, Infrastructure, Open Source",5,,5,info@chromaway.com,http://chromaway.com/
Audacia,https://www.crunchbase.com/organization/audacia,"Paris, Ile-de-France, France","Management Consulting, Venture Capital",13,4,15,contact@audacia.fr,http://www.audacia.fr
Frumtak Ventures,https://www.crunchbase.com/organization/frumtak,"Reykjavík, Gullbringusysla, Iceland","Finance, Financial Services, Venture Capital",25,2,37,frumtak@frumtak.is,https://frumtak.is/
WePlay Ventures,https://www.crunchbase.com/organization/weplay-ventures,"Istanbul, Istanbul, Turkey","Financial Services, Venture Capital",23,2,24,play@weplayventures.com,https://www.weplayventures.com
Insitor Partners,https://www.crunchbase.com/organization/insitor-fund,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services",23,1,31,info@insitorimpactasiafund.com,http://www.insitorpartners.com
Flossbach von Storch,https://www.crunchbase.com/organization/flossbach-von-storch,"Cologne, Nordrhein-Westfalen, Germany","Asset Management, Financial Services",2,,3,socialmedia@fvsag.com,https://www.fvsinvest.lu/de/
AIP Seed,https://www.crunchbase.com/organization/aip-seed,"Warsaw, Mazowieckie, Poland","Information Technology, Venture Capital",24,1,27,contact@aipseed.vc,https://www.aipseed.vc/
Decelera,https://www.crunchbase.com/organization/menorca-millennials,"Mahón, Islas Baleares, Spain","Big Data, Impact Investing, Social Entrepreneurship, Sustainability",17,,18,info@decelera.com,http://www.decelera.com/
HUB612,https://www.crunchbase.com/organization/hub612,"Lyon, Rhone-Alpes, France","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Insurance, SaaS, Software, Venture Capital, Web3",21,1,23,contact@hub612.com,https://www.hub612.com/
Barclays Corporate Banking,https://www.crunchbase.com/organization/barclays-plc,"London, England, United Kingdom","Banking, Finance, Financial Services, FinTech",113,42,133,info@barclays.co.uk,https://www.barclays.co.uk/
Point Nine,https://www.crunchbase.com/organization/point-nine-capital,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Marketplace, SaaS, Venture Capital",171,42,295,info@pointninecap.com,http://www.pointnine.com
EUREKA! Venture SGR,https://www.crunchbase.com/organization/eureka-venture,"Milano, Lombardia, Italy","Finance, Financial Services, Venture Capital",16,,23,info@eurekaventure.it,http://www.eurekaventure.it/
Maximon,https://www.crunchbase.com/organization/maximon,"Zug, Zug, Switzerland","Health Care, Venture Capital",3,,3,contact@maximon.com,https://www.maximon.com/
Accelerace,https://www.crunchbase.com/organization/accelerace,"Copenhagen, Hovedstaden, Denmark","Biotechnology, Blockchain, CleanTech, Consulting, EdTech, Financial Services, FinTech, Food and Beverage, Health Care, Internet of Things",62,8,74,info@accelerace.io,http://www.accelerace.io
J12,https://www.crunchbase.com/organization/j12-ventures,"Stockholm, Stockholms Lan, Sweden","Angel Investment, Venture Capital",38,1,51,hi@j12ventures.com,https://www.j12ventures.com/
PranaVentures,https://www.crunchbase.com/organization/prana-ventures,"Milano, Lombardia, Italy","Finance, Financial Services, Venture Capital",13,,16,info@pranaventures.it,https://www.pranaventures.it
Interop,https://www.crunchbase.com/organization/interop-43da,"Paris, Ile-de-France, France","Cryptocurrency, Venture Capital",13,,14,contact@interop.ventures,https://interop.ventures
Northern Powerhouse Investment Fund,https://www.crunchbase.com/organization/northern-powerhouse-investment-fund,"Sheffield, Sheffield, United Kingdom","Banking, Finance, Financial Services, FinTech",95,9,99,info@british-business-bank.co.uk,http://www.npif.co.uk/
FPE Capital,https://www.crunchbase.com/organization/fpe-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",14,7,14,peenquiries@fpecapital.com,http://www.fpecapital.com/
Polkastarter,https://www.crunchbase.com/organization/polkastarter,"Lisbon, Lisboa, Portugal","Blockchain, Crowdfunding, Cryptocurrency, Finance, Financial Services, FinTech",13,,13,daniel@polkastarter.com,https://www.polkastarter.com
IKIGAI,https://www.crunchbase.com/organization/ikigai-8cc9,"Siena, Toscana, Italy","Impact Investing, Incubators, Social Entrepreneurship, Social Impact, Venture Capital",43,,55,info@ikigaihub.it,https://www.ikigaihub.it
Enry's Island SpA,https://www.crunchbase.com/organization/enry-s-island-worldwide-distributed-platform-for-startup-incubation-acceleration,"Tremiti, Puglia, Italy","Blockchain, Cryptocurrency, Incubators, Internet of Things, Web Apps, Web3",36,,36,info@enrysisland.com,http://enrysisland.com
AMAVI Capital,https://www.crunchbase.com/organization/amavi-capital,"Eke, Oost-Vlaanderen, Belgium","Building Material, Construction, Facility Management, Property Development, Property Management, Real Estate, Real Estate Investment, Retail Technology, SaaS, Venture Capital",14,,15,hello@amavi.capital,https://amavi.capital
Dutch Operator Fund I,https://www.crunchbase.com/organization/dutch-operator-fund-i,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",2,,2,hello@dutchoperatorfun.nl,https://www.dutchoperatorfund.nl/
bm-t beteiligungsmanagement thuringen,https://www.crunchbase.com/organization/bm-t-beteiligungsmanagement-thüringen,"Erfurt, Thuringen, Germany","Finance, Financial Services, Venture Capital",50,7,68,info@bm-t.com,https://www.bm-t.com/
New Renaissance Ventures,https://www.crunchbase.com/organization/new-renaissance-ventures,"Vienna, Wien, Austria","Finance, Financial Services, Venture Capital",9,,9,hi@nr.ventures,https://www.nr.ventures/
Startuplab,https://www.crunchbase.com/organization/startup-lab,"Oslo, Oslo, Norway","Angel Investment, Business Development, Incubators",50,5,52,tonje@startuplab.no,http://www.startuplab.no/
Exor Ventures,https://www.crunchbase.com/organization/exor-ventures,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",103,5,133,seeds@exor.com,https://www.exor.com/pages/companies-investments/ventures
Celsius Network,https://www.crunchbase.com/organization/celsius-network,"London, England, United Kingdom","Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech",6,1,7,hello@celsius.network,https://celsius.network
Sarmayacar,https://www.crunchbase.com/organization/sarmayacar,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",16,,24,raabta@sarmayacar.com,https://sarmayacar.com/
Coinsilium Group,https://www.crunchbase.com/organization/coinsilium-group,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",16,2,18,info@coinsilium.com,https://coinsilium.com/
COI Partners,https://www.crunchbase.com/organization/co-investor-22b0,"Frankfurt, Hessen, Germany","Finance, Financial Services, Venture Capital",25,12,26,info@coi-partners.com,https://coi-partners.com
Collective Spark,https://www.crunchbase.com/organization/collective-spark,"Istanbul, Istanbul, Turkey","Information Technology, Venture Capital",23,1,34,contact@collectivespark.com,http://www.collectivespark.com
The Untitled Venture Company,https://www.crunchbase.com/organization/the-untitled-venture-company,"London, England, United Kingdom",Financial Services,19,1,23,info@theuntitled.net,https://www.theuntitled.vc/
AddVenture,https://www.crunchbase.com/organization/addventure,"Nicosia, Nicosia, Cyprus","Finance, Financial Services, Venture Capital",34,5,53,apply@addventure.vc,http://addventure.vc
Nesta Impact Investments,https://www.crunchbase.com/organization/nesta-impactinvestments,"London, England, United Kingdom","Finance, Financial Services",24,3,38,impactinvesting@nesta.org.uk,https://nestainvestments.org.uk
Simpact Ventures,https://www.crunchbase.com/organization/simpact-vc,"Warsaw, Mazowieckie, Poland","Impact Investing, Social Impact, Venture Capital",32,,33,kontakt@simpact.vc,http://www.simpact.vc/
Founders Future,https://www.crunchbase.com/organization/founders-future,"Paris, Ile-de-France, France",Venture Capital,84,4,117,hello@foundersfuture.com,http://www.foundersfuture.com
Fonbulucu,https://www.crunchbase.com/organization/fonbulucu,"Çankaya, Ankara, Turkey","Crowdfunding, Financial Services, FinTech",73,1,83,info@fonbulucu.com,https://invest.fonbulucu.com/
Better Angle,https://www.crunchbase.com/organization/better-angle,"Paris, Ile-de-France, France",Venture Capital,49,1,51,contact@better-angle.com,https://www.better-angle.com/
Privilège Ventures,https://www.crunchbase.com/organization/privilege-ventures,"Lugano, Ticino, Switzerland",Venture Capital,17,,18,info@privilege-ventures.com,https://privilege-ventures.com/
SINTEF Venture AS,https://www.crunchbase.com/organization/sintef-tto,"Trondheim, Sor-Trondelag, Norway","Innovation Management, Venture Capital",24,5,34,info@sintef.no,http://www.sintef.no/en/tto
Apeiron Venture Capital,https://www.crunchbase.com/organization/apeiron-venture-capital,"Athens, Attiki, Greece","Finance, Venture Capital",3,,3,hello@apeiron.vc,https://apeiron.vc/
LVP,https://www.crunchbase.com/organization/london-venture-partners,"London, England, United Kingdom","Casual Games, Gaming, MMO Games, Online Games, Venture Capital, Video Games",56,17,84,info@londonvp.com,http://www.londonvp.com
LC Ventures,https://www.crunchbase.com/organization/lc-ventures,"Lisbon, Lisboa, Portugal",Venture Capital,19,2,25,info@lcv.pt,https://www.lcventures.pt
SpeedUp Venture Capital Group,https://www.crunchbase.com/organization/speedup-venture-capital-group,"Poznan, Wielkopolskie, Poland","Artificial Intelligence (AI), Energy Storage, Finance, Financial Services, Medical, Medical Device, Renewable Energy, Venture Capital",51,6,54,info@speedupgroup.com,http://speedupgroup.com
CitizenX,https://www.crunchbase.com/organization/citizenx,"Zug, Zug, Switzerland","Document Management, FinTech, Software",4,,4,support@citizenx.com,https://citizenx.com
CHECK24 Ventures,https://www.crunchbase.com/organization/check24-ventures,"Frankfurt, Hessen, Germany","Financial Services, FinTech, InsurTech, Internet, Marketplace, Software, Venture Capital",7,3,7,ventures@check24.de,https://check24.vc/
Satgana,https://www.crunchbase.com/organization/satgana,"Luxembourg, Luxembourg, Luxembourg","Incubators, Social Entrepreneurship, Social Impact, Sustainability, Venture Capital",17,,17,romain@satgana.com,http://satgana.com
StartupYard,https://www.crunchbase.com/organization/startupyard,"Praha, Hlavni mesto Praha, Czech Republic","Blockchain, Consulting, Cyber Security, Finance, Information Technology, Venture Capital, Virtual Reality",83,7,95,info@startupyard.com,http://startupyard.com/
Tomahawk.VC,https://www.crunchbase.com/organization/tomahawk-vc,"Zürich, Zurich, Switzerland","B2B, Blockchain, Financial Services, FinTech, Information Technology",18,1,25,hello@tomahawk.vc,https://www.tomahawk.vc/
Concrete Venture Capital,https://www.crunchbase.com/organization/concrete-venture-capital,"London, England, United Kingdom","Finance, Financial Services, PropTech, Real Estate, Venture Capital",25,4,28,info@concretevc.com,http://www.concretevc.com
Imbiba,https://www.crunchbase.com/organization/imbiba,"London, England, United Kingdom","Asset Management, Financial Services, Impact Investing, Venture Capital",9,2,10,info@imbiba.com,http://www.imbiba.com
Kale United,https://www.crunchbase.com/organization/kale-invest,"Stockholm, Stockholms Lan, Sweden","Angel Investment, Finance, GreenTech, Incubators, Venture Capital",19,2,23,info@kaleunited.com,http://kaleunited.com/
Unilever Ventures,https://www.crunchbase.com/organization/unilever-ventures,"London, England, United Kingdom","Financial Services, Venture Capital",100,31,155,uv.investments@unilever.com,http://www.unileverventures.com
KREAXI,https://www.crunchbase.com/organization/rhne-alpes-cration,"Limonest, Rhone-Alpes, France",Venture Capital,53,11,66,contact@kreaxi.com,http://www.kreaxi.com
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Berlin, Berlin, Germany","Finance, Financial Services, Incubators, Internet, Software",109,48,155,info@rocket-internet.com,https://www.rocket-internet.com/
Vanora Ventures,https://www.crunchbase.com/organization/vanora-ventures,"Besiktas, Istanbul, Turkey","Funding Platform, Impact Investing, Venture Capital",8,,9,hello@vanoraventures.com,https://vanoraventures.com/
