Organization/Person Name,Organization/Person Name URL,Location,Industries,Number of Portfolio Organizations,Contact Email
Flossbach von Storch,https://www.crunchbase.com/organization/flossbach-von-storch,"Cologne, Nordrhein-Westfalen, Germany","Asset Management, Financial Services",2,socialmedia@fvsag.com
SpeedUp Venture Capital Group,https://www.crunchbase.com/organization/speedup-venture-capital-group,"Poznan, Wielkopolskie, Poland","Artificial Intelligence (AI), Energy Storage, Finance, Financial Services, Medical, Medical Device, Renewable Energy, Venture Capital",51,info@speedupgroup.com
PMV,https://www.crunchbase.com/organization/pmv-eu,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Asset Management, Business Development, Enterprise Software, Financial Services, Venture Capital",93,info@pmv.eu
AIP Seed,https://www.crunchbase.com/organization/aip-seed,"Warsaw, Mazowieckie, Poland","Information Technology, Venture Capital",24,contact@aipseed.vc
COI Partners,https://www.crunchbase.com/organization/co-investor-22b0,"Frankfurt, Hessen, Germany","Finance, Financial Services, Venture Capital",25,info@coi-partners.com
Picus Capital,https://www.crunchbase.com/organization/picus-capital,"Munich, Bayern, Germany","Construction, E-Commerce, FinTech, Health Care, Human Resources, Logistics, Web3",174,info@picuscap.com
Final Frontier (Space & Defence VC),https://www.crunchbase.com/organization/final-frontier-9365,"Copenhagen, Hovedstaden, Denmark",Venture Capital,2,contact@finalfrontier.vc
Node Capital,https://www.crunchbase.com/organization/node-capital-c83d,"Gibraltar, Gibraltar, Gibraltar","Blockchain, Cryptocurrency, Venture Capital",15,or@node.capital
Pangea Blockchain Fund,https://www.crunchbase.com/organization/pangea-blockchain-fund,"Lugano, Ticino, Switzerland","Blockchain, Hedge Funds, Incubators, Venture Capital",6,Pangea@pmbcgroup.com
EvaCodes,https://www.crunchbase.com/organization/evacodes,"Kyiv, Kyyiv, Ukraine","Blockchain, Mobile Apps, Smart Contracts, Software, Web Development",1,public@evacodes.com
PARSIQ,https://www.crunchbase.com/organization/parsiq,"Ham, Shetland Islands, United Kingdom","Blockchain, Cryptocurrency, Cyber Security, Fraud Detection, Internet, Software",6,info@parsiq.io
Collective Spark,https://www.crunchbase.com/organization/collective-spark,"Istanbul, Istanbul, Turkey","Information Technology, Venture Capital",23,contact@collectivespark.com
Nordic Foodtech VC,https://www.crunchbase.com/organization/nordic-foodtech-vc,"Helsinki, Southern Finland, Finland",Venture Capital,16,info@nft.vc
NatWest,https://www.crunchbase.com/organization/natwest-4984,"London, England, United Kingdom","Banking, Finance, Financial Services, Risk Management, Trading Platform",34,support@natwestmarkets.com
Bynd Venture Capital,https://www.crunchbase.com/organization/busy-angels,"Lisbon, Lisboa, Portugal","Advice, Venture Capital",46,bynd@bynd.vc
Act Venture Capital,https://www.crunchbase.com/organization/act-venture-capital,"Dublin, Dublin, Ireland","FinTech, Information Technology, Internet, Semiconductor, Software, Venture Capital",111,info@actvc.ie
SINTEF Venture AS,https://www.crunchbase.com/organization/sintef-tto,"Trondheim, Sor-Trondelag, Norway","Innovation Management, Venture Capital",24,info@sintef.no
StartupYard,https://www.crunchbase.com/organization/startupyard,"Praha, Hlavni mesto Praha, Czech Republic","Blockchain, Consulting, Cyber Security, Finance, Information Technology, Venture Capital, Virtual Reality",83,info@startupyard.com
Satgana,https://www.crunchbase.com/organization/satgana,"Luxembourg, Luxembourg, Luxembourg","Incubators, Social Entrepreneurship, Social Impact, Sustainability, Venture Capital",17,romain@satgana.com
UK Innovation & Science Seed Fund,https://www.crunchbase.com/organization/rainbow-seed-fund,"Harwell, Oxfordshire, United Kingdom","Biotechnology, Financial Services, Venture Capital",80,enquiries@UKI2S.co.uk
Sunfish Partners,https://www.crunchbase.com/organization/sunfish-partners,"Warsaw, Mazowieckie, Poland","Financial Services, Health Care, Information Technology, Internet, Software",21,info@sunfish.vc
Phystech Ventures,https://www.crunchbase.com/organization/phystech-ventures,"London, England, United Kingdom","Aerospace, Bioinformatics, Biotechnology, Energy, Financial Services, Genetics, Quantum Computing, Robotics, Venture Capital",29,team@phystech.vc
WePlay Ventures,https://www.crunchbase.com/organization/weplay-ventures,"Istanbul, Istanbul, Turkey","Financial Services, Venture Capital",23,play@weplayventures.com
AFI Ventures,https://www.crunchbase.com/organization/afi-ventures,"Paris, Ile-de-France, France","Finance, Financial Services, Impact Investing, Social Impact, Venture Capital",33,dealflow@afi.ventures
Simpact Ventures,https://www.crunchbase.com/organization/simpact-vc,"Warsaw, Mazowieckie, Poland","Impact Investing, Social Impact, Venture Capital",32,kontakt@simpact.vc
Rocket Internet,https://www.crunchbase.com/organization/rocket-internet,"Berlin, Berlin, Germany","Finance, Financial Services, Incubators, Internet, Software",109,info@rocket-internet.com
FIRSTPICK,https://www.crunchbase.com/organization/firstpick,"Vilnius, Vilniaus Apskritis, Lithuania","Finance, Financial Services, Information Technology, Internet, Professional Services, Software, Web Development",33,hello@firstpick.vc
Enry's Island SpA,https://www.crunchbase.com/organization/enry-s-island-worldwide-distributed-platform-for-startup-incubation-acceleration,"Tremiti, Puglia, Italy","Blockchain, Cryptocurrency, Incubators, Internet of Things, Web Apps, Web3",35,info@enrysisland.com
MVST:MG,https://www.crunchbase.com/organization/mvst-mg,"Lefkosia, Nicosia, Cyprus","Advertising, Artificial Intelligence (AI), Augmented Reality, Blockchain, E-Commerce, FinTech, Gaming, Information Technology, Software, Virtual Reality",17,shahar@mvstmg.com
Tomahawk.VC,https://www.crunchbase.com/organization/tomahawk-vc,"Zürich, Zurich, Switzerland","B2B, Blockchain, Financial Services, FinTech, Information Technology",18,hello@tomahawk.vc
Nexus Ventures,https://www.crunchbase.com/organization/nexus-ventures,"Ankara, Ankara, Turkey","Business Intelligence, Finance, Venture Capital",20,info@nexus.ventures
Insitor Partners,https://www.crunchbase.com/organization/insitor-fund,"Luxembourg, Luxembourg, Luxembourg","Finance, Financial Services",23,info@insitorimpactasiafund.com
Nordic Science Investments,https://www.crunchbase.com/organization/nordic-science-investments,"Helsinki, Southern Finland, Finland","Finance, Food and Beverage, Health Care, Impact Investing, Industrial, Information Technology, Manufacturing, Medical, Venture Capital",11,anssi.uimonen@nordscience.com
AMAVI Capital,https://www.crunchbase.com/organization/amavi-capital,"Eke, Oost-Vlaanderen, Belgium","Building Material, Construction, Facility Management, Property Development, Property Management, Real Estate, Real Estate Investment, Retail Technology, SaaS, Venture Capital",14,hello@amavi.capital
CitizenX,https://www.crunchbase.com/organization/citizenx,"Zug, Zug, Switzerland","Document Management, FinTech, Software",4,support@citizenx.com
AddVenture,https://www.crunchbase.com/organization/addventure,"Nicosia, Nicosia, Cyprus","Finance, Financial Services, Venture Capital",34,apply@addventure.vc
StartupFon,https://www.crunchbase.com/organization/startupfon,"Üsküdar, Istanbul, Turkey","Angel Investment, Crowdfunding, Crowdsourcing, Financial Services, Funding Platform, Venture Capital",29,info@startupfon.com
Nesta Impact Investments,https://www.crunchbase.com/organization/nesta-impactinvestments,"London, England, United Kingdom","Finance, Financial Services",24,impactinvesting@nesta.org.uk
Barclays Corporate Banking,https://www.crunchbase.com/organization/barclays-plc,"London, England, United Kingdom","Banking, Finance, Financial Services, FinTech",114,info@barclays.co.uk
Kibo Ventures,https://www.crunchbase.com/organization/kibo-ventures,"Madrid, Madrid, Spain","Finance, Financial Services, Mobile, Venture Capital",74,hello@kiboventures.com
Founder One,https://www.crunchbase.com/organization/founder-one,"Sisli, Istanbul, Turkey","Consulting, Financial Services, Venture Capital",29,info@founderone.com
Outlier Ventures,https://www.crunchbase.com/organization/outlier-ventures-ltd-llp,"London, England, United Kingdom","Artificial Intelligence (AI), Blockchain, Decentralized Finance (DeFi), Fashion, FinTech, Gaming, Metaverse, Non-Fungible Token (NFT), Venture Capital, Web3",340,contact@outlierventures.io
Pretiosum Ventures,https://www.crunchbase.com/organization/pretiosum-ventures,"London, England, United Kingdom","Finance, Financial Services, FinTech, Venture Capital",12,hello@pretiosum.vc
Reflex Capital,https://www.crunchbase.com/organization/reflex-capital,"Prague, Hlavni mesto Praha, Czech Republic","Finance, Venture Capital",52,info@reflexcapital.com
The Untitled Venture Company,https://www.crunchbase.com/organization/the-untitled-venture-company,"London, England, United Kingdom",Financial Services,19,info@theuntitled.net
Ninepointfive,https://www.crunchbase.com/organization/9-5-ventures,"Antwerp, Antwerpen, Belgium","Financial Services, Venture Capital",9,bart@ninepointfive.vc
Sarmayacar,https://www.crunchbase.com/organization/sarmayacar,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",16,raabta@sarmayacar.com
HackCapital,https://www.crunchbase.com/organization/foodhack,"Lausanne, Vaud, Switzerland","Food and Beverage, Funding Platform, Impact Investing, Venture Capital",24,team@hackcapital.co
Scottish EDGE,https://www.crunchbase.com/organization/scottish-edge,"Glasgow, Glasgow City, United Kingdom","Advice, Consulting, Finance, Financial Services, Non Profit",45,richard.gibson@scottishedge.com
Privilège Ventures,https://www.crunchbase.com/organization/privilege-ventures,"Lugano, Ticino, Switzerland",Venture Capital,17,info@privilege-ventures.com
1991 Ventures,https://www.crunchbase.com/organization/1991-ventures,"London, England, United Kingdom",Venture Capital,3,i@1991.vc
SICTIC,https://www.crunchbase.com/organization/sictic,"Zürich, Zurich, Switzerland","Association, Financial Services, FinTech",217,info@sictic.ch
Lazio Innova,https://www.crunchbase.com/organization/lazio-innova,"Rome, Lazio, Italy","Finance, Financial Services, Impact Investing, Venture Capital",26,info@lazioinnova.it
Mercia Fund Managers,https://www.crunchbase.com/organization/mercia-fund-management,"Henley In Arden, Warwickshire, United Kingdom","Financial Services, Life Science, Venture Capital",111,info@merciafund.co.uk
Apollo Crypto,https://www.crunchbase.com/organization/apollo-capital-management,"Stafford, Staffordshire, United Kingdom",Financial Services,17,henrik@apollocap.io
Maximon,https://www.crunchbase.com/organization/maximon,"Zug, Zug, Switzerland","Health Care, Venture Capital",3,contact@maximon.com
Eczacıbaşı Momentum,https://www.crunchbase.com/organization/eczacıbasi-momentum,"Istanbul, Istanbul, Turkey","Biotechnology, FinTech, Health Care, Information Technology, Internet of Things, Mining Technology, Venture Capital, Wellness",13,cagdas.aygun@eczacibasi.com.tr
Gnosis,https://www.crunchbase.com/organization/gnosis,"Gibraltar, Gibraltar, Gibraltar","Blockchain, Ethereum, FinTech, Prediction Markets",28,info@gnosis.pm
Adara Ventures,https://www.crunchbase.com/organization/adara-venture-partners,"Luxembourg, Luxembourg, Luxembourg","Big Data, Energy, Information Technology, SaaS, Software, Venture Capital",50,info@adara.vc
Lumen Ventures,https://www.crunchbase.com/organization/lumen-ventures-d86e,"Rome, Lazio, Italy","Financial Services, FinTech, Venture Capital",8,info@lumen.ventures
J12,https://www.crunchbase.com/organization/j12-ventures,"Stockholm, Stockholms Lan, Sweden","Angel Investment, Venture Capital",38,hi@j12ventures.com
Fonbulucu,https://www.crunchbase.com/organization/fonbulucu,"Çankaya, Ankara, Turkey","Crowdfunding, Financial Services, FinTech",73,info@fonbulucu.com
LEA Partners,https://www.crunchbase.com/organization/lea-partners,"Karlsruhe, Baden-Wurttemberg, Germany","B2B, Supply Chain Management, Venture Capital",31,info@leapartners.de
KREAXI,https://www.crunchbase.com/organization/rhne-alpes-cration,"Limonest, Rhone-Alpes, France",Venture Capital,53,contact@kreaxi.com
Kale United,https://www.crunchbase.com/organization/kale-invest,"Stockholm, Stockholms Lan, Sweden","Angel Investment, Finance, GreenTech, Incubators, Venture Capital",19,info@kaleunited.com
Buildit VC,https://www.crunchbase.com/organization/buildit,"Riga, Riga, Latvia","Consulting, Hardware, Internet of Things, Venture Capital",37,buildit@buildit.lv
CV VC,https://www.crunchbase.com/organization/cv-vc,"Zug, Zug, Switzerland","Blockchain, Venture Capital",48,hello@cvvc.com
Polkastarter,https://www.crunchbase.com/organization/polkastarter,"Lisbon, Lisboa, Portugal","Blockchain, Crowdfunding, Cryptocurrency, Finance, Financial Services, FinTech",13,daniel@polkastarter.com
EuraTechnologies,https://www.crunchbase.com/organization/euratechnologies,"Lille, Nord-Pas-de-Calais, France",Finance,3,contact@euratechnologies.com
Aescuvest,https://www.crunchbase.com/organization/aescuvest,"Frankfurt, Hessen, Germany","Financial Services, Health Care, Venture Capital",22,kontakt@aescuvest.de
Söderberg & Partners,https://www.crunchbase.com/organization/soderberg-partners,"Stockholm, Stockholms Lan, Sweden","Financial Services, Insurance, Wealth Management",7,info@soderbergpartners.se
DAO Maker,https://www.crunchbase.com/organization/dao-maker,"Belle Vue, Cumbria, United Kingdom","Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Funding Platform, Non-Fungible Token (NFT)",44,Paulgregory0000@gmail.com
Startup Bakery,https://www.crunchbase.com/organization/startup-bakery,"Milan, Lombardia, Italy","Artificial Intelligence (AI), Information Technology, SaaS, Software, Venture Capital",1,info@startup-bakery.com
Northern Powerhouse Investment Fund,https://www.crunchbase.com/organization/northern-powerhouse-investment-fund,"Sheffield, Sheffield, United Kingdom","Banking, Finance, Financial Services, FinTech",95,info@british-business-bank.co.uk
HBAN,https://www.crunchbase.com/organization/halo-business-angel-network,"Dublin, Dublin, Ireland","Finance, Financial Services, Impact Investing, Venture Capital",55,info@hban.org
Lexham Partners,https://www.crunchbase.com/organization/lexham-partners,"London, England, United Kingdom",Financial Services,2,info@lexhampartners.com
redalpine,https://www.crunchbase.com/organization/redalpine-venture-partners,"Zürich, Zurich, Switzerland",Venture Capital,85,info@redalpine.com
Agence Française de Développement,https://www.crunchbase.com/organization/agence-française-de-développement,"Paris, Ile-de-France, France","Banking, Government",20,site@afd.fr
Catapult Ventures,https://www.crunchbase.com/organization/catapult-venture-managers,"Enderby, Leicester, United Kingdom","Finance, Financial Services, FinTech, Health Care, Impact Investing, Venture Capital",81,mail@catapult-ventures.com
Audacia,https://www.crunchbase.com/organization/audacia,"Paris, Ile-de-France, France","Management Consulting, Venture Capital",13,contact@audacia.fr
Matter Labs,https://www.crunchbase.com/organization/matter-labs,"Berlin, Berlin, Germany","Blockchain, Ethereum, Internet, Software",6,hello@matter-labs.de
Grow Venture Partners,https://www.crunchbase.com/organization/grow-venture-partners,"Barcelona, Catalonia, Spain",Venture Capital,12,info@growventurepartners.com
Sure Valley Ventures,https://www.crunchbase.com/organization/suir-valley-venture,"London, England, United Kingdom","Artificial Intelligence (AI), Cyber Security, Enterprise Software, Financial Services, Machine Learning, Venture Capital",30,info@surevalleyventures.com
ACF Investors,https://www.crunchbase.com/organization/angel-cofund,"Sheffield, Sheffield, United Kingdom","Angel Investment, Finance, Venture Capital",111,info@angelcofund.co.uk
Runa Capital,https://www.crunchbase.com/organization/runa-capital,"Luxembourg, Luxembourg, Luxembourg","Artificial Intelligence (AI), Enterprise Software, Finance, FinTech, Machine Learning, Open Source, Quantum Computing, SaaS, Venture Capital",116,info@runacap.com
Worth Capital,https://www.crunchbase.com/organization/worth-capital,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",39,info@worthcapital.uk
ENISA,https://www.crunchbase.com/organization/enisa-2,"Madrid, Madrid, Spain","Angel Investment, Energy, Finance, Medical, Venture Capital",195,info@enisa.es
Beta-i,https://www.crunchbase.com/organization/beta-i,"Lisbon, Lisboa, Portugal","Angel Investment, Consulting, Education, Events, Innovation Management",2,geral@beta-i.com
Mercia Asset Management,https://www.crunchbase.com/organization/mercia-asset-management,"Henley In Arden, Warwickshire, United Kingdom","Asset Management, Financial Services, Venture Capital",65,info@mercia.co.uk
CHECK24 Ventures,https://www.crunchbase.com/organization/check24-ventures,"Frankfurt, Hessen, Germany","Financial Services, FinTech, InsurTech, Internet, Marketplace, Software, Venture Capital",7,ventures@check24.de
MMC Ventures,https://www.crunchbase.com/organization/mmc-ventures,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",122,fundenquiries@mmc.vc
German Media Pool,https://www.crunchbase.com/organization/gmpvc-german-media-pool,"Berlin, Berlin, Germany","Advertising, Finance, Financial Services",31,info@gmpvc.com
Exor Ventures,https://www.crunchbase.com/organization/exor-ventures,"Amsterdam, Noord-Holland, The Netherlands","Finance, Financial Services, Venture Capital",104,seeds@exor.com
FunFair Ventures,https://www.crunchbase.com/organization/funfair-ventures,"Douglas, NA - Isle of Man, Isle of Man","Blockchain, Information Technology",40,projects@funfair.ventures
Capital Cell,https://www.crunchbase.com/organization/capital-cell,"Barcelona, Catalonia, Spain","Biotechnology, FinTech, Life Science, Medical, Medical Device, Pharmaceutical",41,info@capitalcell.net
Nuclio Venture Builder,https://www.crunchbase.com/organization/nuclio,"Barcelona, Catalonia, Spain","Angel Investment, Finance, Incubators, Software, Venture Capital",8,info@nuclio.com
SATUS Starter,https://www.crunchbase.com/organization/satus-starter,"Kraków, Malopolskie, Poland","Artificial Intelligence (AI), Big Data, Blockchain, Cyber Security, FinTech, Impact Investing, Internet of Things, Marketplace, SaaS, Virtual Reality",14,info@satus.vc
Barclays Eagle Labs,https://www.crunchbase.com/organization/barclays-eagle-labs,"London, England, United Kingdom","Banking, Finance",3,DPO@Barclays.com
Resonance,https://www.crunchbase.com/organization/resonance-limited,"Launceston, Cornwall, United Kingdom","Association, Communities, Crowdfunding, Financial Services",5,info@resonance.ltd.uk
Imbiba,https://www.crunchbase.com/organization/imbiba,"London, England, United Kingdom","Asset Management, Financial Services, Impact Investing, Venture Capital",9,info@imbiba.com
HUB612,https://www.crunchbase.com/organization/hub612,"Lyon, Rhone-Alpes, France","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Insurance, SaaS, Software, Venture Capital, Web3",21,contact@hub612.com
Concrete Venture Capital,https://www.crunchbase.com/organization/concrete-venture-capital,"London, England, United Kingdom","Finance, Financial Services, PropTech, Real Estate, Venture Capital",25,info@concretevc.com
Propel Capital,https://www.crunchbase.com/organization/propel-capital,"Stockholm, Stockholms Lan, Sweden","Angel Investment, Asset Management, Finance",148,emanuel.andersson@sting.co
Mustard Seed,https://www.crunchbase.com/organization/mustard-seed,"London, England, United Kingdom","Financial Services, Impact Investing, Venture Capital",28,info@mustardseedimpact.com
Sistem Global,https://www.crunchbase.com/organization/sistem-global,"Sariyer, Istanbul, Turkey","Accounting, Management Consulting, Risk Management, Tax Consulting, Tax Preparation",6,info@sistemglobal.com.tr
RS Participaties,https://www.crunchbase.com/organization/rs-participaties-b-v,"Amsterdam, Noord-Holland, The Netherlands","Angel Investment, Finance, Financial Services, Venture Capital",7,investment@rsparticipaties.nl
Prediction Capital,https://www.crunchbase.com/organization/prediction-capital,"Birkirkara, NA - Malta, Malta","Consumer Applications, Consumer Software, Finance, Financial Services, FinTech, Venture Capital",4,info@predictioncapital.vc
Qredo,https://www.crunchbase.com/organization/qredo,"London, England, United Kingdom","Blockchain, Cryptocurrency, Cyber Security, Developer APIs, FinTech",4,info@qredo.com
HCapital Partners,https://www.crunchbase.com/organization/hcapital,"Lisbon, Lisboa, Portugal",Venture Capital,10,info@hcapital.pt
Decelera,https://www.crunchbase.com/organization/menorca-millennials,"Mahón, Islas Baleares, Spain","Big Data, Impact Investing, Social Entrepreneurship, Sustainability",17,info@decelera.com
Martlet Capital,https://www.crunchbase.com/organization/martlet,"Cambridge, Cambridgeshire, United Kingdom","Angel Investment, Finance, Financial Services",42,contactus@martletcap.com
Oktogon Ventures,https://www.crunchbase.com/organization/oktogon-ventures,"Budapest, Budapest, Hungary","B2B, Software, Venture Capital",22,vera@oktogon.vc
Polkadot,https://www.crunchbase.com/organization/polkadot,"Zug, Zug, Switzerland","Apps, Blockchain, Crowdfunding, Information Services, Information Technology, Web3",12,press@polkadot.network
Defactor,https://www.crunchbase.com/organization/defactor,"Dublin, Dublin, Ireland","Asset Management, Decentralized Finance (DeFi), Finance, Financial Services",4,info@defactor.com
Apeiron Venture Capital,https://www.crunchbase.com/organization/apeiron-venture-capital,"Athens, Attiki, Greece","Finance, Venture Capital",3,hello@apeiron.vc
Startupxplore,https://www.crunchbase.com/organization/startupxplore,"Valencia, Comunidad Valenciana, Spain","Angel Investment, FinTech, Internet, Venture Capital",20,info@startupxplore.com
Pluto Digital,https://www.crunchbase.com/organization/pluto-digital-assets,"London, England, United Kingdom","Cryptocurrency, Finance, Financial Exchanges, Metaverse",15,info@plutodigital.com
Golden Egg Check Capital,https://www.crunchbase.com/organization/golden-egg-check-capital,"Enschede, Overijssel, The Netherlands","Artificial Intelligence (AI), Cyber Security, FinTech, Human Resources, Impact Investing, Machine Learning, Marketplace, Payments, Robotics, Software",25,capital@goldeneggcheck.com
Scalar North Capital,https://www.crunchbase.com/organization/life-ventures,"London, England, United Kingdom",Venture Capital,21,josh.drukarz@scalarnorthcapital.co.uk
70Ventures,https://www.crunchbase.com/organization/70ventures,"Vilnius, Vilniaus Apskritis, Lithuania","Financial Services, Incubators, Venture Capital",37,hello@70ventures.com
Keen Venture Partners,https://www.crunchbase.com/organization/keen-venture-partners-2,"Amsterdam, Noord-Holland, The Netherlands",Venture Capital,32,info@keenventurepartners.com
Eureeca,https://www.crunchbase.com/organization/eureeca,"London, England, United Kingdom","Crowdfunding, Finance, Financial Services",4,contactus@eureeca.com
STARTGUIDE VC,https://www.crunchbase.com/organization/startguide,"Prague, Hlavni mesto Praha, Czech Republic",Venture Capital,11,jana.sedlakova@startguide.vc
Commercialization Reactor,https://www.crunchbase.com/organization/commercialization-reactor,"Riga, Riga, Latvia","Chemical, Electronics, FinTech, Life Science, Medical Device, Renewable Energy",5,info@commercializationreactor.com
Arcario,https://www.crunchbase.com/organization/arcane-crypto,"Stockholm, Stockholms Lan, Sweden","Cryptocurrency, Financial Services, FinTech",2,ir@arcario.com
Vanora Ventures,https://www.crunchbase.com/organization/vanora-ventures,"Besiktas, Istanbul, Turkey","Funding Platform, Impact Investing, Venture Capital",8,hello@vanoraventures.com
Force Over Mass Capital,https://www.crunchbase.com/organization/force-over-mass-capital,"London, England, United Kingdom","B2B, Financial Services, Information Technology, SaaS, Venture Capital",127,info@fomcap.com
AgileGTM Capital,https://www.crunchbase.com/organization/agilegtm-capital,"Lisbon, Lisboa, Portugal","Finance, Financial Services, Venture Capital",3,email@agilegtm.vc
La Famiglia,https://www.crunchbase.com/organization/la-famiglia,"Berlin, Berlin, Germany","Finance, Financial Services, Venture Capital",78,ciao@lafamiglia.vc
Galion.exe,https://www.crunchbase.com/organization/galion-exe,"Paris, Ile-de-France, France",Venture Capital,18,hello@galion.exe.vc
Invento Capital,https://www.crunchbase.com/organization/invento-capital,"Katowice, Slaskie, Poland","Financial Services, Impact Investing, Venture Capital",9,office@inventocapital.pl
Planet N Group of Companies,https://www.crunchbase.com/organization/planet-n-group-of-companies-2,"London, England, United Kingdom","Artificial Intelligence (AI), Digital Media, Financial Services, FinTech, Information Technology, Media and Entertainment, Social Impact",26,info@planetngroup.com
KnowledgeHub,https://www.crunchbase.com/organization/knowledghub,"Warszawa, Mazowieckie, Poland","Financial Services, FinTech, Funding Platform, SaaS, Venture Capital",13,contact@kh.vc
Business Angels Fund,https://www.crunchbase.com/organization/business-angels-fund,"Vilnius, Vilniaus Apskritis, Lithuania",Venture Capital,15,info@mesinvest.lt
Munich Re,https://www.crunchbase.com/organization/munich-reinsurance,"Munich, Bayern, Germany","Finance, Insurance, InsurTech, Risk Management",11,contact@munichre.com
Aster,https://www.crunchbase.com/organization/aster-capital,"Paris, Ile-de-France, France",Venture Capital,72,contact@aster.com
Otium Capital,https://www.crunchbase.com/organization/otium-capital,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",57,hello@otiumcapital.com
LVP,https://www.crunchbase.com/organization/london-venture-partners,"London, England, United Kingdom","Casual Games, Gaming, MMO Games, Online Games, Venture Capital, Video Games",57,info@londonvp.com
NorthInvest,https://www.crunchbase.com/organization/northinvest,"Leeds, Leeds, United Kingdom",Angel Investment,10,info@northinvest.co.uk
One planetcrowd,https://www.crunchbase.com/organization/one-planetcrowd,"Amsterdam, Noord-Holland, The Netherlands","Financial Services, Venture Capital",4,info@oneplanetcrowd.nl
FundingBox Deep Tech Fund,https://www.crunchbase.com/organization/fundingbox-deep-tech-fund,"Warsaw, Mazowieckie, Poland",Venture Capital,16,contact@fundingbox.vc
KT Portföy,https://www.crunchbase.com/organization/gsyf,"Sisli, Istanbul, Turkey","Finance, Financial Services",10,info@ktportfoy.com.tr
Signature Ventures,https://www.crunchbase.com/organization/signature-ventures,"Aying, Bayern, Germany","Blockchain, FinTech, Open Source, Privacy, Venture Capital",13,contact@signatureventures.com
Interop,https://www.crunchbase.com/organization/interop-43da,"Paris, Ile-de-France, France","Cryptocurrency, Venture Capital",13,contact@interop.ventures
Intellectual Labs AS,https://www.crunchbase.com/organization/intellectual-labs-as,"Oslo, Oslo, Norway","Artificial Intelligence (AI), Biotechnology, FinTech, Health Care, Health Diagnostics, Manufacturing, Smart Cities, Venture Capital, Wealth Management",2,enquiry@intellectuallabs.no
CaixaBank,https://www.crunchbase.com/organization/caixabank,"Barcelona, Catalonia, Spain","Banking, Finance, Financial Services",20,investors@caixabank.com
BOM,https://www.crunchbase.com/organization/brabantse-ontwikkelings-maatschappij-bom,"Tilburg, Noord-Brabant, The Netherlands","CleanTech, Financial Services, Information Technology, Life Science, Venture Capital",106,brabantventures@bom.nl
Sustainable Ventures,https://www.crunchbase.com/organization/sustainable-ventures,"London, England, United Kingdom","Finance, Venture Capital",52,contact@sustainableventures.co.uk
Polymorphic Capital,https://www.crunchbase.com/organization/polymorphic-capital,"Limassol, Limassol, Cyprus","Blockchain, Cryptocurrency, Finance, Financial Services, Venture Capital, Web3",36,info@polymorphic.capital
La Bolsa Social,https://www.crunchbase.com/organization/la-bolsa-social,"Madrid, Madrid, Spain","Financial Services, FinTech",10,contacto@bolsasocial.com
Lombard Odier,https://www.crunchbase.com/organization/lombard-odier,"Geneva, Geneve, Switzerland","Asset Management, Banking, Finance, Financial Services, Legal, Wealth Management",24,contact@lombardodier.com
Eurazeo,https://www.crunchbase.com/organization/eurazeo-com,"Paris, Ile-de-France, France","Asset Management, Finance, Financial Services, FinTech",252,accueil@eurazeo.com
Neptunia Invest,https://www.crunchbase.com/organization/neptunia-invest,"Stockholm, Stockholms Lan, Sweden",Venture Capital,5,info@neptuniainvest.se
Nekko Capital,https://www.crunchbase.com/organization/nekko-capital,"Barcelona, Catalonia, Spain","Finance, Financial Services, FinTech, Venture Capital",15,info@nekko.vc
Social Tech Trust,https://www.crunchbase.com/organization/nominet-trust,"Oxford, Oxfordshire, United Kingdom","Financial Services, Funding Platform",109,hello@socialtechtrust.org
tQuity,https://www.crunchbase.com/organization/tqutiy,"Madrid, Madrid, Spain","Angel Investment, Impact Investing, Venture Capital",6,info@tquity.com
2b AHEAD Ventures Fund,https://www.crunchbase.com/organization/2b-ahead-ventures-fund-01,"Leipzig, Sachsen, Germany","Incubators, Management Consulting, Venture Capital",4,caro@2bahead-ventures.com
Truffle Capital,https://www.crunchbase.com/organization/truffle-capital,"Paris, Ile-de-France, France","Finance, Financial Services, FinTech, Venture Capital",42,contact@truffle.com
Loudspring,https://www.crunchbase.com/organization/cleantech-invest,"Helsinki, Southern Finland, Finland","CleanTech, Financial Services, FinTech",12,bigge@cleantechinvest.com
EPTI,https://www.crunchbase.com/organization/epti,"Stockholm, Stockholms Lan, Sweden","Finance, Incubators, Internet, Software",2,hello@epti.com
Angels in MedCity,https://www.crunchbase.com/organization/angels-in-medcity,"London, England, United Kingdom","Finance, Financial Services, Venture Capital",16,angelsinmedcity@angelcapital.co.uk
Market One Capital,https://www.crunchbase.com/organization/market-one-capital,"Luxembourg, Luxembourg, Luxembourg","Internet, Marketplace, Venture Capital",36,office@moc.vc
Hiventures,https://www.crunchbase.com/organization/hiventures,"Budapest, Budapest, Hungary",Venture Capital,392,info@hiventures.hu
Clarendon Fund Managers,https://www.crunchbase.com/organization/clarendon-fund-managers,"Belfast, Belfast, United Kingdom","Finance, Financial Services, Venture Capital",44,info@clarendon-fm.co.uk
